,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11035,FIFA Soccer 2003,GameCube,2002,Sports,Electronic Arts,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11036,Adventure Time: The Secret of the Nameless Kingdom,Nintendo 3DS,2014,Action,Little Orbit,0.0,70000.0,0.0,0.0,0.08,Handheld,Nintendo,2011,2020,75940000.0
11037,Little League World Series Baseball: Double Play,Nintendo DS,2010,Sports,Activision,80000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11038,DanceDanceRevolution,Xbox 360,2011,Simulation,Konami Digital Entertainment,80000.0,0.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11039,"3 in 1: Solitaire, Mahjong & Tangram",Nintendo DS,2010,Misc,Deep Silver,0.0,70000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11040,Pop'n Music,Wii,2009,Misc,Konami Digital Entertainment,70000.0,0.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11041,Outlaw Golf,GameCube,2002,Sports,TDK Mediactive,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11042,Worms: A Space Oddity,Wii,2008,Strategy,THQ,60000.0,20000.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11043,Steins;Gate: Hiyoku Renri no Darling,Xbox 360,2011,Adventure,5pb,0.0,0.0,80000.0,0.0,0.08,Home,Microsoft,2005,2016,84000000.0
11044,Diego's Build & Rescue,Nintendo DS,2010,Action,Take-Two Interactive,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11045,King's Field (Japan),PlayStation,1994,Role-Playing,From Software,0.0,0.0,80000.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11046,Slam 'n Jam '96 featuring Magic & Kareem,PlayStation,1995,Sports,Crystal Dynamics,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11047,Far Cry Vengeance,Wii,2006,Shooter,Ubisoft,60000.0,10000.0,0.0,10000.0,0.08,Home,Nintendo,2006,2013,101630000.0
11048,Looney Tunes: Acme Arsenal,Xbox 360,2007,Action,Warner Bros. Interactive Entertainment,60000.0,10000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11049,Samurai Shodown Sen,Xbox 360,2009,Fighting,Rising Star Games,70000.0,10000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11050,Bangai-O Spirits,Nintendo DS,2008,Shooter,D3Publisher,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11051,NASCAR The Game: Inside Line,PlayStation 3,2012,Racing,Activision,70000.0,0.0,0.0,10000.0,0.08,Home,Sony,2006,2017,87400000.0
11052,ToraDora Portable!,PlayStation Portable,2009,Adventure,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Handheld,Sony,2004,2014,82000000.0
11053,The Italian Job,Xbox,2003,Racing,Eidos Interactive,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
